sentence,modelo_exemplo,arg1,rel,arg2,n_modelos_concordando
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",Claude_Sonnet5,"seu irmão, John F. Shea",escreveu,a letra original,4
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",respostaGrok4.0Fast,"seu irmão, John F. Shea",escreveu,a letra original,4
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",respostas_gpt5.5_mini,"seu irmão, John F. Shea",escreveu,a letra original,4
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",respostasGemini3.1Pro,"seu irmão, John F. Shea",escreveu,a letra original,4
"Em fevereiro de 2013, Beyoncé disse que Madonna a inspirou a assumir o controle de sua própria carreira.",Claude_Sonnet5,Beyoncé,disse,que Madonna a inspirou a assumir o controle de sua própria carreira,4
"Em fevereiro de 2013, Beyoncé disse que Madonna a inspirou a assumir o controle de sua própria carreira.",respostaGrok4.0Fast,Beyoncé,disse,que Madonna a inspirou a assumir o controle de sua própria carreira,4
"Em fevereiro de 2013, Beyoncé disse que Madonna a inspirou a assumir o controle de sua própria carreira.",respostas_gpt5.5_mini,Beyoncé,disse,que Madonna a inspirou a assumir o controle de sua própria carreira,4
"Em fevereiro de 2013, Beyoncé disse que Madonna a inspirou a assumir o controle de sua própria carreira.",respostasGemini3.1Pro,Beyoncé,disse,que Madonna a inspirou a assumir o controle de sua própria carreira,4
"Em 2013, Beyoncé fez a Lista Time 100, Baz Luhrmann escrevendo ninguém tem essa voz, ninguém se move de o jeito que ela se move, ninguém pode manter uma audiência de o jeito que ela faz... Quando Beyoncé faz um álbum, quando Beyoncé canta uma música, quando Beyoncé faz qualquer coisa, é um evento e é amplamente influente.",Claude_Sonnet5,Beyoncé,faz,um álbum,3
"Em 2013, Beyoncé fez a Lista Time 100, Baz Luhrmann escrevendo ninguém tem essa voz, ninguém se move de o jeito que ela se move, ninguém pode manter uma audiência de o jeito que ela faz... Quando Beyoncé faz um álbum, quando Beyoncé canta uma música, quando Beyoncé faz qualquer coisa, é um evento e é amplamente influente.",Claude_Sonnet5,Beyoncé,faz,qualquer coisa,3
