Frase,Gabarito (Gold),Claude_sonnet5,respostaGrok4.0Fast,respostasGemini3.1Pro,respostas_gpt5.5_mini
"A universidade é afiliada a a Congregação de a Santa Cruz (em latim Congregatio a Sancta Cruce, pós-nominais abreviados","⚠ A universidade → é → afiliada a a Congregação de a Santa Cruz
A universidade → é afiliada a → a Congregação de a Santa Cruz","✓✓ A universidade → é afiliada a → a Congregação de a Santa Cruz
✗ a Congregação de a Santa Cruz → é chamada em latim → Congregatio a Sancta Cruce","✓✓ A universidade → é afiliada a → a Congregação de a Santa Cruz
✗ A universidade → é afiliada a → a Congregação da Santa Cruz
✗ Congregação de a Santa Cruz → é em latim → Congregatio a Sancta Cruce","✓✓ A universidade → é afiliada a → a Congregação de a Santa Cruz
✗ a Congregação de a Santa Cruz → é em latim → Congregatio a Sancta Cruce",✓ A universidade → é afiliada a → a Congregação de Santa Cruz
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",Michael J. Shea → escreveu → a música,"✗ Michael J. Shea → formou-se em → 1904
✓✓ Michael J. Shea → escreveu → a música
✗ John F. Shea → é → o irmão de Michael J. Shea
✗ John F. Shea → se formou em → 1906
✗ John F. Shea → se formou em → 1908
✗ John F. Shea → escreveu → a letra original","✗ Michael J. Shea → formado em → 1904
✓✓ Michael J. Shea → escreveu → a música
✗ John F. Shea → é seu irmão → Michael J. Shea
✗ John F. Shea → se formou em → 1906
✗ John F. Shea → se formou em → 1908
✗ John F. Shea → escreveu → a letra original","✓✓ Michael J. Shea → escreveu → a música
✗ Michael J. Shea → foi formado em → 1904
✗ o irmão de Michael J. Shea → é → John F. Shea
✗ John F. Shea → escreveu → a letra original
✗ John F. Shea → se formou em → 1906
✗ John F. Shea → se formou em → 1908","✗ Michael J. Shea → tem como irmão → John F. Shea
✗ Michael J. Shea → formou-se em → 1904
✓✓ Michael J. Shea → escreveu → a música
✗ John F. Shea → formou-se em → 1906 e 1908
✗ John F. Shea → escreveu → a letra original"
"A Universidade de Notre Dame du Lac (ou simplesmente Notre Dame / ˌnoʊtərˈdeɪm / NOH-tər-DAYM) é uma Universidade Católica de Pesquisa localizada a o lado de South Bend, Indiana, em os Estados Unidos.","⚠ A Universidade de Notre Dame → é → uma Universidade Católica de Pesquisa
A Universidade de Notre Dame du Lac → é → uma Universidade Católica de Pesquisa","✗ A Universidade de Notre Dame du Lac → é conhecida simplesmente como → Notre Dame
✓✓ A Universidade de Notre Dame du Lac → é → uma Universidade Católica de Pesquisa
✗ A Universidade de Notre Dame du Lac → é localizada ao lado de → South Bend, Indiana
✗ A Universidade de Notre Dame du Lac → é localizada em → os Estados Unidos","✓✓ A Universidade de Notre Dame du Lac → é → uma Universidade Católica de Pesquisa
✗ A Universidade de Notre Dame du Lac → é também → Notre Dame
✗ A Universidade de Notre Dame du Lac → é localizada ao lado de → South Bend, Indiana
✗ A Universidade de Notre Dame du Lac → é localizada em → os Estados Unidos","✗ A Universidade de Notre Dame du Lac → é → uma Universidade Católica de Pesquisa localizada a o lado de South Bend
✗ A Universidade de Notre Dame du Lac → é conhecida como → Notre Dame
✗ A Universidade de Notre Dame du Lac → está localizada a o lado de → South Bend
✗ A Universidade de Notre Dame du Lac → está localizada em → os Estados Unidos","✓✓ A Universidade de Notre Dame du Lac → é → uma Universidade Católica de Pesquisa
✗ A Universidade de Notre Dame du Lac → também é chamada de → Notre Dame
✗ A Universidade de Notre Dame du Lac → está localizada ao lado de → South Bend, Indiana
✗ A Universidade de Notre Dame du Lac → está localizada em → os Estados Unidos"
"Em fevereiro de 2013, Beyoncé disse que Madonna a inspirou a assumir o controle de sua própria carreira.",⚠ Beyoncé → disse → que Madonna a inspirou,"✗ Beyoncé → disse em → fevereiro de 2013
✗ Beyoncé → disse → que Madonna inspirou Beyoncé a assumir o controle de sua própria carreira","✗ Beyoncé → disse → que Madonna a inspirou a assumir o controle de sua própria carreira
✗ Madonna → inspirou → Beyoncé a assumir o controle de sua própria carreira",✗ Beyoncé → disse → que Madonna a inspirou a assumir o controle de sua própria carreira,✗ Beyoncé → disse que → Madonna a inspirou a assumir o controle de sua própria carreira
"Em 2013, Beyoncé fez a Lista Time 100, Baz Luhrmann escrevendo ninguém tem essa voz, ninguém se move de o jeito que ela se move, ninguém pode manter uma audiência de o jeito que ela faz... Quando Beyoncé faz um álbum, quando Beyoncé canta uma música, quando Beyoncé faz qualquer coisa, é um evento e é amplamente influente.","Beyoncé → fez → a Lista Time 100
⚠ Beyoncé → canta → uma música
⚠ ninguém → pode manter → uma audiência de o jeito que ela faz","✓✓ Beyoncé → fez → a Lista Time 100
✗ Beyoncé → fez a Lista Time 100 em → 2013
✗ Baz Luhrmann → escreveu que → ninguém tem a voz de Beyoncé, ninguém se move do jeito que ela se move, ninguém pode manter uma audiência do jeito que ela faz
✗ Baz Luhrmann → escreveu que → quando Beyoncé faz um álbum, quando Beyoncé canta uma música, quando Beyoncé faz qualquer coisa, é um evento e é amplamente influente","✓✓ Beyoncé → fez → a Lista Time 100
✗ Beyoncé → faz um álbum → é um evento
✗ Beyoncé → canta uma música → é um evento
✗ Beyoncé → faz qualquer coisa → é um evento
✗ Beyoncé → é amplamente → influente",✓✓ Beyoncé → fez → a Lista Time 100,"✓✓ Beyoncé → fez → a Lista Time 100
✗ Baz Luhrmann → escreveu → ninguém tem essa voz, ninguém se move de o jeito que ela se move, ninguém pode manter uma audiência de o jeito que ela faz... Quando Beyoncé faz um álbum, quando Beyoncé canta uma música, quando Beyoncé faz qualquer coisa, é um evento e é amplamente influente"
"Em 2013, foi anunciado que Beyoncé trabalharia com Salma Hayek e Frida Giannini em uma campanha de a Gucci Chime for Change, que visa espalhar o empoderamento feminino.",⚠ Beyoncé → trabalharia com Salma Hayek e Frida Giannini em → uma campanha de a Gucci,✗ uma campanha da Gucci Chime for Change → visa espalhar → o empoderamento feminino,"✗ Beyoncé → trabalharia com → Salma Hayek
✗ Beyoncé → trabalharia com → Frida Giannini
✗ Beyoncé → trabalharia em → uma campanha da Gucci Chime for Change
✗ a campanha de a Gucci Chime for Change → visa espalhar → o empoderamento feminino",✗ a Gucci Chime for Change → visa espalhar → o empoderamento feminino,✗ a campanha de a Gucci Chime for Change → visa espalhar → o empoderamento feminino
"O Bureau de o Censo de os Estados Unidos estima que a população de Montana era 1.032.949 em 1º de julho de 2015, um aumento de 4,40 % desde o Censo de os Estados Unidos de 2010.",O Bureau de o Censo de os Estados Unidos → estima → que a população de Montana era 1.032.949 em 1º de julho de 2015,"✗ O Bureau do Censo dos Estados Unidos → estima que → a população de Montana era 1.032.949 em 1º de julho de 2015, um aumento de 4,40% desde o Censo dos Estados Unidos de 2010","✓✓ O Bureau de o Censo de os Estados Unidos → estima → que a população de Montana era 1.032.949 em 1º de julho de 2015
✗ a população de Montana → era → 1.032.949 em 1º de julho de 2015
✗ a população de Montana → teve um aumento de → 4,40 % desde o Censo de os Estados Unidos de 2010",✓✓ O Bureau de o Censo de os Estados Unidos → estima → que a população de Montana era 1.032.949 em 1º de julho de 2015,"✗ O Bureau de o Censo de os Estados Unidos → estima que → a população de Montana era 1.032.949 em 1º de julho de 2015
✗ a população de Montana → era → 1.032.949
✗ a população de Montana → teve um aumento de → 4,40 % desde o Censo de os Estados Unidos de 2010"
"O Aeroporto Internacional de Bozeman Yellowstone é o aeroporto mais movimentado de o estado de Montana, superando o Aeroporto Internacional Billings Logan em a primavera de 2013",O Aeroporto Internacional de Bozeman Yellowstone → é → o aeroporto mais movimentado de o estado de Montana,"✓ O Aeroporto Internacional de Bozeman Yellowstone → é → o aeroporto mais movimentado do estado de Montana
✗ O Aeroporto Internacional de Bozeman Yellowstone → superou → o Aeroporto Internacional Billings Logan
✗ O Aeroporto Internacional de Bozeman Yellowstone → superou o Aeroporto Internacional Billings Logan em → a primavera de 2013","✓ O Aeroporto Internacional de Bozeman Yellowstone → é → o aeroporto mais movimentado do estado de Montana
✗ O Aeroporto Internacional de Bozeman Yellowstone → superando → o Aeroporto Internacional Billings Logan","✓✓ O Aeroporto Internacional de Bozeman Yellowstone → é → o aeroporto mais movimentado de o estado de Montana
✗ O Aeroporto Internacional de Bozeman Yellowstone → superou → o Aeroporto Internacional Billings Logan","✓✓ O Aeroporto Internacional de Bozeman Yellowstone → é → o aeroporto mais movimentado de o estado de Montana
✗ O Aeroporto Internacional de Bozeman Yellowstone → superou → O Aeroporto Internacional Billings Logan"
"Na primavera de 1834, Chopin participou de o Festival de Música de o Baixo Reno em Aix-la-Chapelle com Hiller, e foi lá que Chopin conheceu Felix Mendelssohn.","Chopin → participou de → o Festival de Música de o Baixo Reno
Chopin → participou de → o Festival de Música de o Baixo Reno em Aix-la-Chapelle","✓ Chopin → participou de → o Festival de Música do Baixo Reno
✗ Chopin → participou do Festival de Música do Baixo Reno em → Aix-la-Chapelle
✗ Chopin → participou do Festival de Música do Baixo Reno com → Hiller
✗ Chopin → participou do Festival de Música do Baixo Reno na primavera de → 1834
✗ Chopin → conheceu → Felix Mendelssohn
✗ Chopin → conheceu Felix Mendelssohn em → Aix-la-Chapelle","✓✓ Chopin → participou de → o Festival de Música de o Baixo Reno em Aix-la-Chapelle
✗ Chopin → participou com → Hiller
✗ Chopin → conheceu → Felix Mendelssohn","✓✓ Chopin → participou de → o Festival de Música de o Baixo Reno
✗ Chopin → conheceu → Felix Mendelssohn","✓✓ Chopin → participou de → o Festival de Música de o Baixo Reno
✓ Chopin → participou de → o Festival de Música de o Baixo Reno com Hiller
✗ Chopin → conheceu → Felix Mendelssohn"
"Mais tarde naquela manhã, o marido de Solange, Clésinger, fez a máscara mortuária de Chopin e um giro de a mão esquerda.",⚠ o marido de Solange → fez → a máscara mortuária de Chopin,"✗ Clésinger → é → o marido de Solange
✗ Clésinger → fez → a máscara mortuária de Chopin
✗ Clésinger → fez → um giro da mão esquerda de Chopin","✗ Clésinger → é o marido de → Solange
✗ Clésinger → fez → a máscara mortuária de Chopin
✗ Clésinger → fez → um giro de a mão esquerda","✗ o marido de Solange → é → Clésinger
✗ Clésinger → fez → a máscara mortuária de Chopin
✗ Clésinger → fez → um giro de a mão esquerda","✗ Clésinger → é marido de → Solange
✗ Clésinger → fez → a máscara mortuária de Chopin
✗ Clésinger → fez → um giro de a mão esquerda"
