modelo,campo,precisao,recall,f1,vp,fp,fn
Claude_Sonnet5,arg1,0.4049,0.8478,0.5481,362,532,65
Claude_Sonnet5,rel,0.3233,0.6768,0.4375,289,605,138
Claude_Sonnet5,arg2,0.2998,0.6276,0.4058,268,626,159
Claude_Sonnet5,tripla_completa,0.2461,0.5152,0.3331,220,674,207
LlamaPortOIE3,arg1,0.6081,0.7049,0.6529,301,194,126
LlamaPortOIE3,rel,0.4869,0.5644,0.5228,241,254,186
LlamaPortOIE3,arg2,0.4182,0.4848,0.449,207,288,220
LlamaPortOIE3,tripla_completa,0.3535,0.4098,0.3796,175,320,252
PortNOIE,arg1,0.5184,0.3302,0.4034,141,131,286
PortNOIE,rel,0.5294,0.3372,0.412,144,128,283
PortNOIE,arg2,0.4044,0.2576,0.3147,110,162,317
PortNOIE,tripla_completa,0.2721,0.1733,0.2117,74,198,353
Qwen3OIE_0_6B,arg1,0.3546,0.7822,0.4879,334,608,93
Qwen3OIE_0_6B,rel,0.2803,0.6183,0.3857,264,678,163
Qwen3OIE_0_6B,arg2,0.241,0.5316,0.3316,227,715,200
Qwen3OIE_0_6B,tripla_completa,0.1975,0.4356,0.2717,186,756,241
Qwen3OIE_4B,arg1,0.3235,0.7939,0.4597,339,709,88
Qwen3OIE_4B,rel,0.2615,0.6417,0.3715,274,774,153
Qwen3OIE_4B,arg2,0.2347,0.5761,0.3336,246,802,181
Qwen3OIE_4B,tripla_completa,0.1861,0.4567,0.2644,195,853,232
respostaGrok4.0Fast,arg1,0.7628,0.5948,0.6684,254,79,173
respostaGrok4.0Fast,rel,0.6877,0.5363,0.6026,229,104,198
respostaGrok4.0Fast,arg2,0.6246,0.4871,0.5474,208,125,219
respostaGrok4.0Fast,tripla_completa,0.5435,0.4239,0.4763,181,152,246
respostas_gpt5.5_mini,arg1,0.4838,0.7681,0.5937,328,350,99
respostas_gpt5.5_mini,rel,0.4056,0.644,0.4977,275,403,152
respostas_gpt5.5_mini,arg2,0.3746,0.5948,0.4597,254,424,173
respostas_gpt5.5_mini,tripla_completa,0.3068,0.4871,0.3765,208,470,219
respostasGemini3.1Pro,arg1,0.4101,0.7799,0.5375,333,479,94
respostasGemini3.1Pro,rel,0.3522,0.6698,0.4617,286,526,141
respostasGemini3.1Pro,arg2,0.3103,0.5902,0.4068,252,560,175
respostasGemini3.1Pro,tripla_completa,0.2451,0.466,0.3212,199,613,228
