modelo,campo,precisao,recall,f1,vp,fp,fn
Claude_Sonnet5,arg1,0.566,0.7635,0.65,326,250,101
Claude_Sonnet5,rel,0.4271,0.5761,0.4905,246,330,181
Claude_Sonnet5,arg2,0.4288,0.5785,0.4925,247,329,180
Claude_Sonnet5,tripla_completa,0.3003,0.4052,0.345,173,403,254
LlamaPortOIE3,arg1,0.6081,0.7049,0.6529,301,194,126
LlamaPortOIE3,rel,0.4869,0.5644,0.5228,241,254,186
LlamaPortOIE3,arg2,0.4182,0.4848,0.449,207,288,220
LlamaPortOIE3,tripla_completa,0.3535,0.4098,0.3796,175,320,252
PortNOIE,arg1,0.5184,0.3302,0.4034,141,131,286
PortNOIE,rel,0.5294,0.3372,0.412,144,128,283
PortNOIE,arg2,0.4044,0.2576,0.3147,110,162,317
PortNOIE,tripla_completa,0.2721,0.1733,0.2117,74,198,353
PTOIE-Flair,arg1,0.8312,0.4496,0.5836,192,39,235
PTOIE-Flair,rel,0.7532,0.4075,0.5289,174,57,253
PTOIE-Flair,arg2,0.6883,0.3724,0.4833,159,72,268
PTOIE-Flair,tripla_completa,0.5801,0.3138,0.4073,134,97,293
Qwen3OIE_0_6B,arg1,0.3546,0.7822,0.4879,334,608,93
Qwen3OIE_0_6B,rel,0.2803,0.6183,0.3857,264,678,163
Qwen3OIE_0_6B,arg2,0.241,0.5316,0.3316,227,715,200
Qwen3OIE_0_6B,tripla_completa,0.1975,0.4356,0.2717,186,756,241
Qwen3OIE_4B,arg1,0.3235,0.7939,0.4597,339,709,88
Qwen3OIE_4B,rel,0.2615,0.6417,0.3715,274,774,153
Qwen3OIE_4B,arg2,0.2347,0.5761,0.3336,246,802,181
Qwen3OIE_4B,tripla_completa,0.1861,0.4567,0.2644,195,853,232
respostaGrok4.0Fast,arg1,0.4552,0.7728,0.5729,330,395,97
respostaGrok4.0Fast,rel,0.3352,0.5691,0.4219,243,482,184
respostaGrok4.0Fast,arg2,0.3269,0.555,0.4115,237,488,190
respostaGrok4.0Fast,tripla_completa,0.2331,0.3958,0.2934,169,556,258
respostas_gpt5.5_mini,arg1,0.3974,0.7799,0.5265,333,505,94
respostas_gpt5.5_mini,rel,0.2995,0.5878,0.3968,251,587,176
respostas_gpt5.5_mini,arg2,0.3186,0.6253,0.4221,267,571,160
respostas_gpt5.5_mini,tripla_completa,0.2279,0.4473,0.302,191,647,236
respostasGemini3.1Pro,arg1,0.4139,0.7822,0.5413,334,473,93
respostasGemini3.1Pro,rel,0.3234,0.6112,0.423,261,546,166
respostasGemini3.1Pro,arg2,0.2726,0.5152,0.3566,220,587,207
respostasGemini3.1Pro,tripla_completa,0.1945,0.3677,0.2545,157,650,270
