modelo,n_frases_gold,n_frases_pred,precisao_lexical,recall_lexical,f1_lexical,precisao_exact,recall_exact,f1_exact,n_erros_parsing,n_pred_sem_match,n_gold_sem_cobertura
respostaGrok4.0Fast,262,262,0.48641304347826086,0.41920374707259955,0.45031446540880504,0.38858695652173914,0.33489461358313816,0.35974842767295595,0,0,0
LlamaPortOIE3,262,262,0.35353535353535354,0.4098360655737705,0.3796095444685466,0.2383838383838384,0.27634660421545665,0.2559652928416486,0,0,0
respostas_gpt5.5_mini,262,262,0.27007299270072993,0.4332552693208431,0.3327338129496402,0.19854014598540146,0.3185011709601874,0.2446043165467626,0,0,0
respostasGemini3.1Pro,262,262,0.22527472527472528,0.3840749414519906,0.283982683982684,0.1401098901098901,0.2388758782201405,0.17662337662337663,0,1,1
Claude_Sonnet5,262,262,0.20867526377491208,0.4168618266978923,0.278125,0.13716295427901523,0.27400468384074944,0.18281250000000002,0,0,0
Qwen3OIE_0_6B,262,262,0.19745222929936307,0.43559718969555034,0.2717311906501096,0.1602972399150743,0.35362997658079626,0.22059897735573408,0,0,0
Qwen3OIE_4B,262,262,0.18606870229007633,0.4566744730679157,0.26440677966101694,0.14790076335877864,0.3629976580796253,0.21016949152542375,0,0,0
PortNOIE,262,262,0.27205882352941174,0.17330210772833723,0.21173104434907006,0.12867647058823528,0.08196721311475409,0.10014306151645207,0,0,0
respostaDPTOIE-PY,262,262,0.20052770448548812,0.17798594847775176,0.18858560794044663,0.0870712401055409,0.07728337236533958,0.08188585607940448,0,0,0
DptOIE,262,262,0.09183064997018485,0.36065573770491804,0.14638783269961977,0.05247465712581992,0.20608899297423888,0.08365019011406845,0,0,0
