sentence,modelo_exemplo,arg1,rel,arg2,n_modelos_concordando
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",Claude_Sonnet5,Michael J. Shea,formado em,1904,3
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",Claude_Sonnet5,John F. Shea,escreveu,a letra original,3
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",Grok4.0Fast,Michael J. Shea,formado em,1904,3
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",Grok4.0Fast,John F. Shea,escreveu,a letra original,3
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",respostas_gpt5.5_mini,Michael J. Shea,formado em,1904,3
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",respostas_gpt5.5_mini,"seu irmão, John F. Shea",escreveu,a letra original,3
"A Universidade de Notre Dame du Lac (ou simplesmente Notre Dame / ˌnoʊtərˈdeɪm / NOH-tər-DAYM) é uma Universidade Católica de Pesquisa localizada a o lado de South Bend, Indiana, em os Estados Unidos.",Claude_Sonnet5,A Universidade de Notre Dame du Lac,é localizada a o lado de,"South Bend, Indiana",3
"A Universidade de Notre Dame du Lac (ou simplesmente Notre Dame / ˌnoʊtərˈdeɪm / NOH-tər-DAYM) é uma Universidade Católica de Pesquisa localizada a o lado de South Bend, Indiana, em os Estados Unidos.",Grok4.0Fast,A Universidade de Notre Dame du Lac,localizada a o lado de,"South Bend, Indiana",3
"A Universidade de Notre Dame du Lac (ou simplesmente Notre Dame / ˌnoʊtərˈdeɪm / NOH-tər-DAYM) é uma Universidade Católica de Pesquisa localizada a o lado de South Bend, Indiana, em os Estados Unidos.",respostas_gpt5.5_mini,A Universidade de Notre Dame du Lac,é localizada a o lado de,"South Bend, Indiana",3
"Em fevereiro de 2013, Beyoncé disse que Madonna a inspirou a assumir o controle de sua própria carreira.",Claude_Sonnet5,Beyoncé,disse,que Madonna a inspirou a assumir o controle de sua própria carreira,3
"Em fevereiro de 2013, Beyoncé disse que Madonna a inspirou a assumir o controle de sua própria carreira.",Grok4.0Fast,Beyoncé,disse,que Madonna a inspirou a assumir o controle de sua própria carreira,3
"Em fevereiro de 2013, Beyoncé disse que Madonna a inspirou a assumir o controle de sua própria carreira.",respostas_gpt5.5_mini,Beyoncé,disse,que Madonna a inspirou a assumir o controle de sua própria carreira,3
"O Aeroporto Internacional de Bozeman Yellowstone é o aeroporto mais movimentado de o estado de Montana, superando o Aeroporto Internacional Billings Logan em a primavera de 2013",Claude_Sonnet5,O Aeroporto Internacional de Bozeman Yellowstone,superando,o Aeroporto Internacional Billings Logan,3
"O Aeroporto Internacional de Bozeman Yellowstone é o aeroporto mais movimentado de o estado de Montana, superando o Aeroporto Internacional Billings Logan em a primavera de 2013",Grok4.0Fast,O Aeroporto Internacional de Bozeman Yellowstone,superando,o Aeroporto Internacional Billings Logan,3
"O Aeroporto Internacional de Bozeman Yellowstone é o aeroporto mais movimentado de o estado de Montana, superando o Aeroporto Internacional Billings Logan em a primavera de 2013",respostas_gpt5.5_mini,O Aeroporto Internacional de Bozeman Yellowstone,superando,o Aeroporto Internacional Billings Logan,3
"Na primavera de 1834, Chopin participou de o Festival de Música de o Baixo Reno em Aix-la-Chapelle com Hiller, e foi lá que Chopin conheceu Felix Mendelssohn.",Claude_Sonnet5,Chopin,conheceu,Felix Mendelssohn,3
"Na primavera de 1834, Chopin participou de o Festival de Música de o Baixo Reno em Aix-la-Chapelle com Hiller, e foi lá que Chopin conheceu Felix Mendelssohn.",Grok4.0Fast,Chopin,conheceu,Felix Mendelssohn,3
"Na primavera de 1834, Chopin participou de o Festival de Música de o Baixo Reno em Aix-la-Chapelle com Hiller, e foi lá que Chopin conheceu Felix Mendelssohn.",respostas_gpt5.5_mini,Chopin,conheceu,Felix Mendelssohn,3
"Mais tarde naquela manhã, o marido de Solange, Clésinger, fez a máscara mortuária de Chopin e um giro de a mão esquerda.",Claude_Sonnet5,Clésinger,fez,a máscara mortuária de Chopin,3
"Mais tarde naquela manhã, o marido de Solange, Clésinger, fez a máscara mortuária de Chopin e um giro de a mão esquerda.",Claude_Sonnet5,Clésinger,fez,um giro de a mão esquerda,3
"Mais tarde naquela manhã, o marido de Solange, Clésinger, fez a máscara mortuária de Chopin e um giro de a mão esquerda.",Grok4.0Fast,Clésinger,fez,a máscara mortuária de Chopin,3
"Mais tarde naquela manhã, o marido de Solange, Clésinger, fez a máscara mortuária de Chopin e um giro de a mão esquerda.",Grok4.0Fast,Clésinger,fez,um giro de a mão esquerda,3
"Mais tarde naquela manhã, o marido de Solange, Clésinger, fez a máscara mortuária de Chopin e um giro de a mão esquerda.",respostas_gpt5.5_mini,Clésinger,fez,a máscara mortuária de Chopin,3
"Mais tarde naquela manhã, o marido de Solange, Clésinger, fez a máscara mortuária de Chopin e um giro de a mão esquerda.",respostas_gpt5.5_mini,Clésinger,fez,um giro de a mão esquerda,3
"Em setembro de 1828, Chopin, ainda estudante, visitou Berlim com um amigo de a família, o zoólogo Feliks Jarocki, desfrutando de óperas dirigidas por Gaspare Spontini e assistindo a concertos de Carl Friedrich Zelter, Felix Mendelssohn e outras celebridades.",Claude_Sonnet5,Chopin,desfrutando de,óperas dirigidas por Gaspare Spontini,3
"Em setembro de 1828, Chopin, ainda estudante, visitou Berlim com um amigo de a família, o zoólogo Feliks Jarocki, desfrutando de óperas dirigidas por Gaspare Spontini e assistindo a concertos de Carl Friedrich Zelter, Felix Mendelssohn e outras celebridades.",Claude_Sonnet5,Chopin,assistindo a,concertos de Carl Friedrich Zelter,3
"Em setembro de 1828, Chopin, ainda estudante, visitou Berlim com um amigo de a família, o zoólogo Feliks Jarocki, desfrutando de óperas dirigidas por Gaspare Spontini e assistindo a concertos de Carl Friedrich Zelter, Felix Mendelssohn e outras celebridades.",Claude_Sonnet5,Chopin,assistindo a,concertos de Felix Mendelssohn,3
"Em setembro de 1828, Chopin, ainda estudante, visitou Berlim com um amigo de a família, o zoólogo Feliks Jarocki, desfrutando de óperas dirigidas por Gaspare Spontini e assistindo a concertos de Carl Friedrich Zelter, Felix Mendelssohn e outras celebridades.",Grok4.0Fast,Chopin,desfrutando de,óperas dirigidas por Gaspare Spontini,3
"Em setembro de 1828, Chopin, ainda estudante, visitou Berlim com um amigo de a família, o zoólogo Feliks Jarocki, desfrutando de óperas dirigidas por Gaspare Spontini e assistindo a concertos de Carl Friedrich Zelter, Felix Mendelssohn e outras celebridades.",Grok4.0Fast,Chopin,assistindo a,concertos de Carl Friedrich Zelter,3
"Em setembro de 1828, Chopin, ainda estudante, visitou Berlim com um amigo de a família, o zoólogo Feliks Jarocki, desfrutando de óperas dirigidas por Gaspare Spontini e assistindo a concertos de Carl Friedrich Zelter, Felix Mendelssohn e outras celebridades.",Grok4.0Fast,Chopin,assistindo a,concertos de Felix Mendelssohn,3
"Em setembro de 1828, Chopin, ainda estudante, visitou Berlim com um amigo de a família, o zoólogo Feliks Jarocki, desfrutando de óperas dirigidas por Gaspare Spontini e assistindo a concertos de Carl Friedrich Zelter, Felix Mendelssohn e outras celebridades.",respostas_gpt5.5_mini,Chopin,desfrutando de,óperas dirigidas por Gaspare Spontini,3
"Em setembro de 1828, Chopin, ainda estudante, visitou Berlim com um amigo de a família, o zoólogo Feliks Jarocki, desfrutando de óperas dirigidas por Gaspare Spontini e assistindo a concertos de Carl Friedrich Zelter, Felix Mendelssohn e outras celebridades.",respostas_gpt5.5_mini,Chopin,assistindo a,concertos de Carl Friedrich Zelter,3
"Em setembro de 1828, Chopin, ainda estudante, visitou Berlim com um amigo de a família, o zoólogo Feliks Jarocki, desfrutando de óperas dirigidas por Gaspare Spontini e assistindo a concertos de Carl Friedrich Zelter, Felix Mendelssohn e outras celebridades.",respostas_gpt5.5_mini,Chopin,assistindo a,concertos de Felix Mendelssohn,3
"Dreyfus escreve que depois que o Phagmodrupa perdeu seu poder centralizador sobre o Tibete em 1434, várias tentativas de outras famílias para estabelecer hegemonias falharam em os próximos dois séculos até 1642 com a efetiva hegemonia de o 5º Dalai Lama sobre o Tibete.",Claude_Sonnet5,Dreyfus,escreve,"que depois que o Phagmodrupa perdeu seu poder centralizador sobre o Tibete em 1434, várias tentativas de outras famílias para estabelecer hegemonias falharam em os próximos dois séculos até 1642 com a efetiva hegemonia de o 5º Dalai Lama sobre o Tibete",3
"Dreyfus escreve que depois que o Phagmodrupa perdeu seu poder centralizador sobre o Tibete em 1434, várias tentativas de outras famílias para estabelecer hegemonias falharam em os próximos dois séculos até 1642 com a efetiva hegemonia de o 5º Dalai Lama sobre o Tibete.",Grok4.0Fast,Dreyfus,escreve,"que depois que o Phagmodrupa perdeu seu poder centralizador sobre o Tibete em 1434, várias tentativas de outras famílias para estabelecer hegemonias falharam em os próximos dois séculos até 1642 com a efetiva hegemonia de o 5º Dalai Lama sobre o Tibete",3
"Dreyfus escreve que depois que o Phagmodrupa perdeu seu poder centralizador sobre o Tibete em 1434, várias tentativas de outras famílias para estabelecer hegemonias falharam em os próximos dois séculos até 1642 com a efetiva hegemonia de o 5º Dalai Lama sobre o Tibete.",respostas_gpt5.5_mini,Dreyfus,escreve,"que depois que o Phagmodrupa perdeu seu poder centralizador sobre o Tibete em 1434, várias tentativas de outras famílias para estabelecer hegemonias falharam em os próximos dois séculos até 1642 com a efetiva hegemonia de o 5º Dalai Lama sobre o Tibete",3
"Chen Qingying afirma que Tsongkhapa escreveu uma carta para recusar o convite de o Imperador e, nesta resposta, Tsongkhapa escreveu",Claude_Sonnet5,Chen Qingying,afirma,que Tsongkhapa escreveu uma carta para recusar o convite de o Imperador,3
"Chen Qingying afirma que Tsongkhapa escreveu uma carta para recusar o convite de o Imperador e, nesta resposta, Tsongkhapa escreveu",Grok4.0Fast,Chen Qingying,afirma,que Tsongkhapa escreveu uma carta para recusar o convite de o Imperador,3
"Chen Qingying afirma que Tsongkhapa escreveu uma carta para recusar o convite de o Imperador e, nesta resposta, Tsongkhapa escreveu",respostas_gpt5.5_mini,Chen Qingying,afirma,que Tsongkhapa escreveu uma carta para recusar o convite de o Imperador,3
Klieger escreve que a presença de Altan Khan em o oeste reduziu efetivamente a influência de os Ming e o contato com o Tibete.,Claude_Sonnet5,Klieger,escreve,que a presença de Altan Khan em o oeste reduziu efetivamente a influência de os Ming e o contato com o Tibete,3
Klieger escreve que a presença de Altan Khan em o oeste reduziu efetivamente a influência de os Ming e o contato com o Tibete.,Grok4.0Fast,Klieger,escreve,que a presença de Altan Khan em o oeste reduziu efetivamente a influência de os Ming e o contato com o Tibete,3
Klieger escreve que a presença de Altan Khan em o oeste reduziu efetivamente a influência de os Ming e o contato com o Tibete.,respostas_gpt5.5_mini,Klieger,escreve,que a presença de Altan Khan em o oeste reduziu efetivamente a influência de os Ming e o contato com o Tibete,3
"Embora não tenha sido registrada em nenhum registro oficial chinês, a biografia de Sonam Gyatso afirma que Wanli novamente conferiu títulos a Sonam Gyatso em 1588 e o convidou para Pequim por a segunda vez, mas Sonam Gyatso não pôde visitar a China, pois morreu em o mesmo ano em a Mongólia.",Claude_Sonnet5,a biografia de Sonam Gyatso,afirma,que Wanli novamente conferiu títulos a Sonam Gyatso em 1588 e o convidou para Pequim por a segunda vez,3
"Embora não tenha sido registrada em nenhum registro oficial chinês, a biografia de Sonam Gyatso afirma que Wanli novamente conferiu títulos a Sonam Gyatso em 1588 e o convidou para Pequim por a segunda vez, mas Sonam Gyatso não pôde visitar a China, pois morreu em o mesmo ano em a Mongólia.",Grok4.0Fast,a biografia de Sonam Gyatso,afirma,que Wanli novamente conferiu títulos a Sonam Gyatso em 1588,3
"Embora não tenha sido registrada em nenhum registro oficial chinês, a biografia de Sonam Gyatso afirma que Wanli novamente conferiu títulos a Sonam Gyatso em 1588 e o convidou para Pequim por a segunda vez, mas Sonam Gyatso não pôde visitar a China, pois morreu em o mesmo ano em a Mongólia.",respostas_gpt5.5_mini,a biografia de Sonam Gyatso,afirma,que Wanli novamente conferiu títulos a Sonam Gyatso em 1588 e o convidou para Pequim por a segunda vez,3
"Sem mencionar o papel de os mongóis, o China Daily afirma que foi a sucessiva dinastia Qing que estabeleceu o título de Dalai Lama e seu poder em o Tibete Em 1653, o imperador Qing concedeu um título honorífico a o quinto Dalai Lama e depois o fez.",Claude_Sonnet5,o China Daily,afirma,que foi a sucessiva dinastia Qing que estabeleceu o título de Dalai Lama e seu poder em o Tibete,3
"Sem mencionar o papel de os mongóis, o China Daily afirma que foi a sucessiva dinastia Qing que estabeleceu o título de Dalai Lama e seu poder em o Tibete Em 1653, o imperador Qing concedeu um título honorífico a o quinto Dalai Lama e depois o fez.",Grok4.0Fast,o China Daily,afirma,que foi a sucessiva dinastia Qing que estabeleceu o título de Dalai Lama e seu poder em o Tibete,3
"Sem mencionar o papel de os mongóis, o China Daily afirma que foi a sucessiva dinastia Qing que estabeleceu o título de Dalai Lama e seu poder em o Tibete Em 1653, o imperador Qing concedeu um título honorífico a o quinto Dalai Lama e depois o fez.",respostas_gpt5.5_mini,o China Daily,afirma,que foi a sucessiva dinastia Qing que estabeleceu o título de Dalai Lama e seu poder em o Tibete,3
"O quarto Dalai Lama se recusou a dar uma audiência a o rei Ü-Tsang, que provocou um conflito quando este começou a atacar mosteiros Gelug.",Claude_Sonnet5,O quarto Dalai Lama,se recusou a dar,uma audiência a o rei Ü-Tsang,3
"O quarto Dalai Lama se recusou a dar uma audiência a o rei Ü-Tsang, que provocou um conflito quando este começou a atacar mosteiros Gelug.",Grok4.0Fast,O quarto Dalai Lama,se recusou a dar,uma audiência a o rei Ü-Tsang,3
"O quarto Dalai Lama se recusou a dar uma audiência a o rei Ü-Tsang, que provocou um conflito quando este começou a atacar mosteiros Gelug.",respostas_gpt5.5_mini,O quarto Dalai Lama,se recusou a dar,uma audiência a o rei Ü-Tsang,3
"Shih-Shan Henry Tsai escreve que o imperador Yongle enviou seu eunuco Yang Sanbao a o Tibete em 1413 para obter uma lealdade de vários príncipes tibetanos, enquanto o imperador Yongle pagou uma pequena fortuna em troca de presentes em troca de tributos, a fim de manter a lealdade de o vassalo vizinho.",Claude_Sonnet5,Shih-Shan Henry Tsai,escreve,que o imperador Yongle enviou seu eunuco Yang Sanbao a o Tibete em 1413 para obter uma lealdade de vários príncipes tibetanos,3
"A Apple lançou um novo conector dock de 8 pinos, chamado Relâmpago, em 12 de setembro de 2012, com o anúncio de o iPhone 5, de o iPod Touch de quinta geração e de o iPod Nano de a sétima geração, todos com esse recurso.",Claude_Sonnet5,A Apple,lançou em,12 de setembro de 2012,3
"A Apple lançou um novo conector dock de 8 pinos, chamado Relâmpago, em 12 de setembro de 2012, com o anúncio de o iPhone 5, de o iPod Touch de quinta geração e de o iPod Nano de a sétima geração, todos com esse recurso.",Grok4.0Fast,A Apple,lançou em,12 de setembro de 2012,3
"A Apple lançou um novo conector dock de 8 pinos, chamado Relâmpago, em 12 de setembro de 2012, com o anúncio de o iPhone 5, de o iPod Touch de quinta geração e de o iPod Nano de a sétima geração, todos com esse recurso.",respostas_gpt5.5_mini,A Apple,lançou em,12 de setembro de 2012,3
O governo central estima que mais de 7.000 salas de aula com engenharia inadequada desabaram em o terremoto.,Claude_Sonnet5,O governo central,estima,que mais de 7.000 salas de aula com engenharia inadequada desabaram em o terremoto,3
O governo central estima que mais de 7.000 salas de aula com engenharia inadequada desabaram em o terremoto.,Grok4.0Fast,O governo central,estima,que mais de 7.000 salas de aula com engenharia inadequada desabaram em o terremoto,3
O governo central estima que mais de 7.000 salas de aula com engenharia inadequada desabaram em o terremoto.,respostas_gpt5.5_mini,O governo central,estima,que mais de 7.000 salas de aula com engenharia inadequada desabaram em o terremoto,3
"A rota de a tocha por o país foi reduzida e houve um minuto de silêncio quando a próxima etapa começou em a cidade de Ruijin, Jiangxi, em a quarta-feira após o terremoto.",Claude_Sonnet5,a próxima etapa,começou em,"a cidade de Ruijin, Jiangxi",3
"A rota de a tocha por o país foi reduzida e houve um minuto de silêncio quando a próxima etapa começou em a cidade de Ruijin, Jiangxi, em a quarta-feira após o terremoto.",Grok4.0Fast,a próxima etapa,começou em,"a cidade de Ruijin, Jiangxi",3
"A rota de a tocha por o país foi reduzida e houve um minuto de silêncio quando a próxima etapa começou em a cidade de Ruijin, Jiangxi, em a quarta-feira após o terremoto.",respostas_gpt5.5_mini,a próxima etapa,começou em,"a cidade de Ruijin, Jiangxi",3
Os Estados Unidos compartilharam algumas de suas imagens de satélite de as áreas atingidas por o terremoto com as Autoridades chinesas.,Claude_Sonnet5,Os Estados Unidos,compartilharam,algumas de suas imagens de satélite de as áreas atingidas por o terremoto,3
Os Estados Unidos compartilharam algumas de suas imagens de satélite de as áreas atingidas por o terremoto com as Autoridades chinesas.,Claude_Sonnet5,Os Estados Unidos,compartilharam com,as Autoridades chinesas,3
Os Estados Unidos compartilharam algumas de suas imagens de satélite de as áreas atingidas por o terremoto com as Autoridades chinesas.,Grok4.0Fast,Os Estados Unidos,compartilharam,algumas de suas imagens de satélite de as áreas atingidas por o terremoto,3
