modelo,n_frases_gold,n_frases_pareadas,cobertura,precisao_lexical,recall_lexical,f1_lexical,categoria
Claude_Sonnet5,262,262,1.0,0.1941112322791712,0.4168618266978923,0.26488095238095244,AbstractiveOpenIE
respostaGrok4.0Fast,262,259,0.9885496183206107,0.48348348348348347,0.3815165876777251,0.4264900662251656,AbstractiveOpenIE
respostas_gpt5.5_mini,262,255,0.9732824427480916,0.23552123552123552,0.4420289855072464,0.30730478589420657,AbstractiveOpenIE
respostasGemini3.1Pro,262,205,0.7824427480916031,0.3441108545034642,0.43567251461988304,0.38451612903225807,AbstractiveOpenIE
Claude_Sonnet5,262,262,1.0,0.20867526377491208,0.4168618266978923,0.278125,ExtrativoDPTO-IE
respostaGrok4.0Fast,262,262,1.0,0.48641304347826086,0.41920374707259955,0.45031446540880504,ExtrativoDPTO-IE
respostas_gpt5.5_mini,262,262,1.0,0.27007299270072993,0.4332552693208431,0.3327338129496402,ExtrativoDPTO-IE
respostasGemini3.1Pro,262,261,0.9961832061068703,0.22527472527472528,0.3867924528301887,0.28472222222222227,ExtrativoDPTO-IE
Claude_Sonnet5,262,262,1.0,0.24608501118568232,0.5152224824355972,0.33308099924299767,ExtrativoOIEC-PT
respostaGrok4.0Fast,262,262,1.0,0.5435435435435435,0.4238875878220141,0.4763157894736842,ExtrativoOIEC-PT
respostas_gpt5.5_mini,262,261,0.9961832061068703,0.30678466076696165,0.48826291079812206,0.37681159420289856,ExtrativoOIEC-PT
respostasGemini3.1Pro,262,262,1.0,0.24507389162561577,0.46604215456674475,0.321226795803067,ExtrativoOIEC-PT
