modelo,batch,precisao_lexical,recall_lexical,f1_lexical,precisao_exact,recall_exact,f1_exact
respostaDPTOIE-PY,1,0.0,0.0,0.0,0.0,0.0,0.0
respostaDPTOIE-PY,2,0.0,0.0,0.0,0.0,0.0,0.0
respostaDPTOIE-PY,3,1.0,0.025,0.04878048780487806,1.0,0.025,0.04878048780487806
respostaDPTOIE-PY,4,0.0,0.0,0.0,0.0,0.0,0.0
respostaDPTOIE-PY,5,0.0,0.0,0.0,0.0,0.0,0.0
respostaDPTOIE-PY,6,0.0,0.0,0.0,0.0,0.0,0.0
respostaDPTOIE-PY,7,0.0,0.0,0.0,0.0,0.0,0.0
respostaDPTOIE-PY,8,0.0,0.0,0.0,0.0,0.0,0.0
respostaDPTOIE-PY,9,0.0,0.0,0.0,0.0,0.0,0.0
respostaDPTOIE-PY,10,0.0,0.0,0.0,0.0,0.0,0.0
