modelo,campo,precisao,recall,f1,vp,fp,fn
Claude_Sonnet5,arg1,0.3155,0.8712,0.4633,372,807,55
Claude_Sonnet5,rel,0.2604,0.719,0.3823,307,872,120
Claude_Sonnet5,arg2,0.2468,0.6815,0.3624,291,888,136
Claude_Sonnet5,tripla_completa,0.2027,0.5597,0.2976,239,940,188
Grok4.0Fast,arg1,0.7278,0.5948,0.6546,254,95,173
Grok4.0Fast,rel,0.5931,0.4848,0.5335,207,142,220
Grok4.0Fast,arg2,0.5845,0.4778,0.5258,204,145,223
Grok4.0Fast,tripla_completa,0.467,0.3817,0.4201,163,186,264
PTOIE-Flair,arg1,0.8312,0.4496,0.5836,192,39,235
PTOIE-Flair,rel,0.7532,0.4075,0.5289,174,57,253
PTOIE-Flair,arg2,0.6883,0.3724,0.4833,159,72,268
PTOIE-Flair,tripla_completa,0.5801,0.3138,0.4073,134,97,293
respostaDPTOIE-PY,arg1,0.6728,0.5972,0.6328,255,124,172
respostaDPTOIE-PY,rel,0.5356,0.4754,0.5037,203,176,224
respostaDPTOIE-PY,arg2,0.3087,0.274,0.2903,117,262,310
respostaDPTOIE-PY,tripla_completa,0.2005,0.178,0.1886,76,303,351
respostas_gpt5.5_mini,arg1,0.3885,0.7916,0.5212,338,532,89
respostas_gpt5.5_mini,rel,0.3149,0.6417,0.4225,274,596,153
respostas_gpt5.5_mini,arg2,0.2862,0.5831,0.384,249,621,178
respostas_gpt5.5_mini,tripla_completa,0.2195,0.4473,0.2945,191,679,236
