sentence,modelo_exemplo,arg1,rel,arg2,n_modelos_concordando
"A universidade é afiliada a a Congregação de a Santa Cruz (em latim Congregatio a Sancta Cruce, pós-nominais abreviados",Claude_Sonnet5,a Congregação de a Santa Cruz,é chamada em latim,Congregatio a Sancta Cruce,3
"A universidade é afiliada a a Congregação de a Santa Cruz (em latim Congregatio a Sancta Cruce, pós-nominais abreviados",PortugueseT5OIE_Abstractive,a Congregação de a Santa Cruz,é em latim,Congregatio a Sancta Cruce,3
"A universidade é afiliada a a Congregação de a Santa Cruz (em latim Congregatio a Sancta Cruce, pós-nominais abreviados",respostaGrok4.0Fast,Congregação de a Santa Cruz,é em latim,Congregatio a Sancta Cruce,3
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",Claude_Sonnet5,John F. Shea,se formou em,1906,4
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",Claude_Sonnet5,John F. Shea,se formou em,1908,4
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",Claude_Sonnet5,John F. Shea,escreveu,a letra original,4
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",PortugueseT5OIE_Abstractive,John F. Shea,se formou em,1906,4
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",PortugueseT5OIE_Abstractive,John F. Shea,se formou em,1908,4
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",respostaGrok4.0Fast,John F. Shea,se formou em,1906,4
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",respostaGrok4.0Fast,John F. Shea,se formou em,1908,4
