sentence,modelo_exemplo,arg1,rel,arg2,n_modelos_concordando
"Teoricamente, um casal poderia abrir quatro contas Tesco e ganhar 3% em £12,000 – £360.",Claude_Sonnet5,um casal,poderia ganhar,"3% em £12,000 – £360",4
"Teoricamente, um casal poderia abrir quatro contas Tesco e ganhar 3% em £12,000 – £360.",Gemini3.1Pro,um casal,poderia ganhar,"3% em £12,000 – £360",4
"Teoricamente, um casal poderia abrir quatro contas Tesco e ganhar 3% em £12,000 – £360.",Grok4.0Fast,um casal,poderia ganhar,"3% em £12,000 – £360",4
"Teoricamente, um casal poderia abrir quatro contas Tesco e ganhar 3% em £12,000 – £360.",respostas_gpt5.5_mini,um casal,poderia ganhar,"3% em £12,000 – £360",4
"Entretanto, os clientes do Banco da Escócia ganham 3% em balanços de £3,000-£5,000 quando adicionam a opção gratuita Vantage às suas contas.",Claude_Sonnet5,os clientes do Banco da Escócia,ganham,"3% em balanços de £3,000-£5,000",3
"Entretanto, os clientes do Banco da Escócia ganham 3% em balanços de £3,000-£5,000 quando adicionam a opção gratuita Vantage às suas contas.",Claude_Sonnet5,os clientes do Banco da Escócia,ganham,"3% em balanços de £3,000-£5,000 quando adicionam a opção gratuita Vantage às suas contas",3
"Entretanto, os clientes do Banco da Escócia ganham 3% em balanços de £3,000-£5,000 quando adicionam a opção gratuita Vantage às suas contas.",Gemini3.1Pro,os clientes do Banco da Escócia,ganham,"3% em balanços de £3,000-£5,000",3
"Entretanto, os clientes do Banco da Escócia ganham 3% em balanços de £3,000-£5,000 quando adicionam a opção gratuita Vantage às suas contas.",Gemini3.1Pro,os clientes do Banco da Escócia,ganham,"3% em balanços de £3,000-£5,000 quando adicionam a opção gratuita Vantage às suas contas",3
"Entretanto, os clientes do Banco da Escócia ganham 3% em balanços de £3,000-£5,000 quando adicionam a opção gratuita Vantage às suas contas.",Grok4.0Fast,os clientes do Banco da Escócia,ganham,"3% em balanços de £3,000-£5,000 quando adicionam a opção gratuita Vantage às suas contas",3
"Entretanto, os clientes do Banco da Escócia ganham 3% em balanços de £3,000-£5,000 quando adicionam a opção gratuita Vantage às suas contas.",respostas_gpt5.5_mini,os clientes do Banco da Escócia,ganham,"3% em balanços de £3,000-£5,000",3
"Com isto, em teoria, você é capaz de acessar seu dinheiro sempre que quiser.",Claude_Sonnet5,você,é capaz de acessar,seu dinheiro sempre que quiser,4
"Com isto, em teoria, você é capaz de acessar seu dinheiro sempre que quiser.",DPTOIE-PY,você,é,"Com isto , em teoria , capaz acessar seu dinheiro sempre que quiser",3
"Com isto, em teoria, você é capaz de acessar seu dinheiro sempre que quiser.",Gemini3.1Pro,você,é,capaz de acessar seu dinheiro sempre que quiser,3
"Com isto, em teoria, você é capaz de acessar seu dinheiro sempre que quiser.",Gemini3.1Pro,você,é capaz de acessar,seu dinheiro sempre que quiser,4
"Com isto, em teoria, você é capaz de acessar seu dinheiro sempre que quiser.",Grok4.0Fast,você,é,capaz de acessar seu dinheiro sempre que quiser,3
"Com isto, em teoria, você é capaz de acessar seu dinheiro sempre que quiser.",Grok4.0Fast,você,é capaz de acessar,seu dinheiro sempre que quiser,4
"Com isto, em teoria, você é capaz de acessar seu dinheiro sempre que quiser.",respostas_gpt5.5_mini,você,é capaz de acessar,seu dinheiro sempre que quiser,4
"Esta taxa de 3% também se aplica a titulares de cartão Nectar que pensam em pedir emprestado £15,001-£19,999, durante um período de dois a três anos.",Claude_Sonnet5,titulares de cartão Nectar,pensam em pedir emprestado,"£15,001-£19,999, durante um período de dois a três anos",4
"Esta taxa de 3% também se aplica a titulares de cartão Nectar que pensam em pedir emprestado £15,001-£19,999, durante um período de dois a três anos.",Gemini3.1Pro,Esta taxa de 3%,também se aplica a,"titulares de cartão Nectar que pensam em pedir emprestado £15,001-£19,999, durante um período de dois a três anos.",3
"Esta taxa de 3% também se aplica a titulares de cartão Nectar que pensam em pedir emprestado £15,001-£19,999, durante um período de dois a três anos.",Gemini3.1Pro,titulares de cartão Nectar,pensam em pedir emprestado,"£15,001-£19,999, durante um período de dois a três anos.",4
"Esta taxa de 3% também se aplica a titulares de cartão Nectar que pensam em pedir emprestado £15,001-£19,999, durante um período de dois a três anos.",Grok4.0Fast,Esta taxa de 3%,também se aplica a,"titulares de cartão Nectar que pensam em pedir emprestado £15,001-£19,999, durante um período de dois a três anos",3
"Esta taxa de 3% também se aplica a titulares de cartão Nectar que pensam em pedir emprestado £15,001-£19,999, durante um período de dois a três anos.",Grok4.0Fast,titulares de cartão Nectar,pensam em pedir emprestado,"£15,001-£19,999, durante um período de dois a três anos",4
"Esta taxa de 3% também se aplica a titulares de cartão Nectar que pensam em pedir emprestado £15,001-£19,999, durante um período de dois a três anos.",respostas_gpt5.5_mini,Esta taxa de 3%,também se aplica,"a titulares de cartão Nectar que pensam em pedir emprestado £15,001-£19,999, durante um período de dois a três anos",4
"Esta taxa de 3% também se aplica a titulares de cartão Nectar que pensam em pedir emprestado £15,001-£19,999, durante um período de dois a três anos.",respostas_gpt5.5_mini,titulares de cartão Nectar,pensam em pedir emprestado,"£15,001-£19,999, durante um período de dois a três anos",4
"O enxofre é um nutriente vital para o crescimento saudável das plantas, mas os solos no Reino Unido são naturalmente deficientes deste mineral.",Claude_Sonnet5,O enxofre,é,um nutriente vital para o crescimento saudável das plantas,4
"O enxofre é um nutriente vital para o crescimento saudável das plantas, mas os solos no Reino Unido são naturalmente deficientes deste mineral.",Gemini3.1Pro,O enxofre,é,um nutriente vital para o crescimento saudável das plantas,4
"O enxofre é um nutriente vital para o crescimento saudável das plantas, mas os solos no Reino Unido são naturalmente deficientes deste mineral.",Grok4.0Fast,O enxofre,é,um nutriente vital para o crescimento saudável das plantas,4
"O enxofre é um nutriente vital para o crescimento saudável das plantas, mas os solos no Reino Unido são naturalmente deficientes deste mineral.",respostas_gpt5.5_mini,O enxofre,é,um nutriente vital para o crescimento saudável das plantas,4
"É justo dizer que Rocco Catalano trabalha, vive e respira retro.",Claude_Sonnet5,Rocco Catalano,trabalha,retro,3
"É justo dizer que Rocco Catalano trabalha, vive e respira retro.",Claude_Sonnet5,Rocco Catalano,vive,retro,4
"É justo dizer que Rocco Catalano trabalha, vive e respira retro.",Gemini3.1Pro,Rocco Catalano,trabalha,retro,3
"É justo dizer que Rocco Catalano trabalha, vive e respira retro.",Gemini3.1Pro,Rocco Catalano,vive,retro,4
"É justo dizer que Rocco Catalano trabalha, vive e respira retro.",Grok4.0Fast,Rocco Catalano,trabalha,retro,3
"É justo dizer que Rocco Catalano trabalha, vive e respira retro.",Grok4.0Fast,Rocco Catalano,vive,retro,4
"É justo dizer que Rocco Catalano trabalha, vive e respira retro.",respostas_gpt5.5_mini,Rocco Catalano,vive,retro,4
Penso que é por isso que eles se imergiram em padrões e cor.,Gemini3.1Pro,eles,se imergiram,em padrões,3
Penso que é por isso que eles se imergiram em padrões e cor.,Gemini3.1Pro,eles,se imergiram,em cor,3
Penso que é por isso que eles se imergiram em padrões e cor.,Grok4.0Fast,eles,se imergiram,em padrões,3
Penso que é por isso que eles se imergiram em padrões e cor.,Grok4.0Fast,eles,se imergiram,em cor,3
Penso que é por isso que eles se imergiram em padrões e cor.,respostas_gpt5.5_mini,eles,se imergiram,em padrões,3
Penso que é por isso que eles se imergiram em padrões e cor.,respostas_gpt5.5_mini,eles,se imergiram,em cor,3
"Catalano voltou para a área depois de viver em Londres e em Glasgow, onde estudou design de jóias na Glasgow School of Art.",Claude_Sonnet5,Catalano,estudou,design de jóias na Glasgow School of Art,4
"Catalano voltou para a área depois de viver em Londres e em Glasgow, onde estudou design de jóias na Glasgow School of Art.",Gemini3.1Pro,Catalano,voltou,para a área depois de viver em Londres e em Glasgow,3
"Catalano voltou para a área depois de viver em Londres e em Glasgow, onde estudou design de jóias na Glasgow School of Art.",Gemini3.1Pro,Catalano,estudou,design de jóias na Glasgow School of Art,4
"Catalano voltou para a área depois de viver em Londres e em Glasgow, onde estudou design de jóias na Glasgow School of Art.",Grok4.0Fast,Catalano,voltou,"para a área depois de viver em Londres e em Glasgow, onde estudou design de jóias na Glasgow School of Art",3
"Catalano voltou para a área depois de viver em Londres e em Glasgow, onde estudou design de jóias na Glasgow School of Art.",Grok4.0Fast,Catalano,estudou,design de jóias na Glasgow School of Art,4
"Catalano voltou para a área depois de viver em Londres e em Glasgow, onde estudou design de jóias na Glasgow School of Art.",respostas_gpt5.5_mini,Catalano,voltou,para a área depois de viver em Londres e em Glasgow,3
"Catalano voltou para a área depois de viver em Londres e em Glasgow, onde estudou design de jóias na Glasgow School of Art.",respostas_gpt5.5_mini,Catalano,estudou,design de jóias na Glasgow School of Art,4
"Eu adorei as cores tropicais, diz ele.",Claude_Sonnet5,Eu,adorei,as cores tropicais,5
"Eu adorei as cores tropicais, diz ele.",Claude_Sonnet5,ele,diz,Eu adorei as cores tropicais,4
"Eu adorei as cores tropicais, diz ele.",DPTOIE-PY,Eu,adorei,as cores tropicais,5
"Eu adorei as cores tropicais, diz ele.",Gemini3.1Pro,ele,diz,Eu adorei as cores tropicais,4
"Eu adorei as cores tropicais, diz ele.",Gemini3.1Pro,Eu,adorei,as cores tropicais,5
"Eu adorei as cores tropicais, diz ele.",Grok4.0Fast,Eu,adorei,as cores tropicais,5
"Eu adorei as cores tropicais, diz ele.",Grok4.0Fast,ele,diz,Eu adorei as cores tropicais,4
"Eu adorei as cores tropicais, diz ele.",respostas_gpt5.5_mini,Eu,adorei,as cores tropicais,5
"Eu adorei as cores tropicais, diz ele.",respostas_gpt5.5_mini,ele,diz,Eu adorei as cores tropicais,4
"Eu visitei os espetáculos universitários na Universidade de Northampton para encontrar novos talentos, diz ele.",Claude_Sonnet5,ele,diz,Eu visitei os espetáculos universitários na Universidade de Northampton para encontrar novos talentos,4
"Eu visitei os espetáculos universitários na Universidade de Northampton para encontrar novos talentos, diz ele.",Gemini3.1Pro,ele,diz,Eu visitei os espetáculos universitários na Universidade de Northampton para encontrar novos talentos,4
"Eu visitei os espetáculos universitários na Universidade de Northampton para encontrar novos talentos, diz ele.",Grok4.0Fast,ele,diz,Eu visitei os espetáculos universitários na Universidade de Northampton para encontrar novos talentos,4
"Eu visitei os espetáculos universitários na Universidade de Northampton para encontrar novos talentos, diz ele.",respostas_gpt5.5_mini,ele,diz,Eu visitei os espetáculos universitários na Universidade de Northampton para encontrar novos talentos,4
"Mas, quando eu sugiro que ela use a Frank como sua modelo, ela ri.",Claude_Sonnet5,eu,sugiro,que ela use a Frank como sua modelo,4
"Mas, quando eu sugiro que ela use a Frank como sua modelo, ela ri.",Claude_Sonnet5,ela,use,a Frank como sua modelo,5
"Mas, quando eu sugiro que ela use a Frank como sua modelo, ela ri.",DPTOIE-PY,ela,use,a Frank como sua modelo,5
"Mas, quando eu sugiro que ela use a Frank como sua modelo, ela ri.",Gemini3.1Pro,eu,sugiro,que ela use a Frank como sua modelo,4
"Mas, quando eu sugiro que ela use a Frank como sua modelo, ela ri.",Gemini3.1Pro,ela,use,a Frank como sua modelo,5
"Mas, quando eu sugiro que ela use a Frank como sua modelo, ela ri.",Grok4.0Fast,eu,sugiro,que ela use a Frank como sua modelo,4
"Mas, quando eu sugiro que ela use a Frank como sua modelo, ela ri.",Grok4.0Fast,ela,use,a Frank como sua modelo,5
"Mas, quando eu sugiro que ela use a Frank como sua modelo, ela ri.",respostas_gpt5.5_mini,eu,sugiro,que ela use a Frank como sua modelo,4
"Mas, quando eu sugiro que ela use a Frank como sua modelo, ela ri.",respostas_gpt5.5_mini,ela,use,a Frank como sua modelo,5
"Naturalmente, a paisagem do escritório apresenta muitas roupas e, no sentido de comida, pouco.",Claude_Sonnet5,a paisagem do escritório,apresenta,pouco no sentido de comida,4
"Naturalmente, a paisagem do escritório apresenta muitas roupas e, no sentido de comida, pouco.",Gemini3.1Pro,a paisagem do escritório,apresenta,pouco no sentido de comida,4
"Naturalmente, a paisagem do escritório apresenta muitas roupas e, no sentido de comida, pouco.",Grok4.0Fast,a paisagem do escritório,apresenta,pouco no sentido de comida,4
"Naturalmente, a paisagem do escritório apresenta muitas roupas e, no sentido de comida, pouco.",respostas_gpt5.5_mini,a paisagem do escritório,apresenta,pouco no sentido de comida,4
"A própria Wintour aparece rapidamente, e é filmada colocando seus óculos de sol antes de ser entrevistada.",Claude_Sonnet5,A própria Wintour,aparece,rapidamente,5
"A própria Wintour aparece rapidamente, e é filmada colocando seus óculos de sol antes de ser entrevistada.",Claude_Sonnet5,A própria Wintour,é filmada,colocando seus óculos de sol,4
"A própria Wintour aparece rapidamente, e é filmada colocando seus óculos de sol antes de ser entrevistada.",DPTOIE-PY,A própria Wintour,aparece,rapidamente,5
"A própria Wintour aparece rapidamente, e é filmada colocando seus óculos de sol antes de ser entrevistada.",Gemini3.1Pro,A própria Wintour,aparece,rapidamente,5
"A própria Wintour aparece rapidamente, e é filmada colocando seus óculos de sol antes de ser entrevistada.",Gemini3.1Pro,A própria Wintour,é filmada,colocando seus óculos de sol antes de ser entrevistada,4
"A própria Wintour aparece rapidamente, e é filmada colocando seus óculos de sol antes de ser entrevistada.",Grok4.0Fast,A própria Wintour,aparece,rapidamente,5
