modelo,campo,precisao,recall,f1,vp,fp,fn
Claude_Sonnet5,arg1,0.3883,0.7794,0.5183,106,167,30
Claude_Sonnet5,rel,0.2637,0.5294,0.3521,72,201,64
Claude_Sonnet5,arg2,0.2418,0.4853,0.3227,66,207,70
Claude_Sonnet5,tripla_completa,0.1868,0.375,0.2494,51,222,85
DPTOIE-PY,arg1,0.4961,0.4706,0.483,64,65,72
DPTOIE-PY,rel,0.3411,0.3235,0.3321,44,85,92
DPTOIE-PY,arg2,0.3101,0.2941,0.3019,40,89,96
DPTOIE-PY,tripla_completa,0.2326,0.2206,0.2264,30,99,106
DptOIE,arg1,0.3394,0.6912,0.4552,94,183,42
DptOIE,rel,0.2491,0.5074,0.3341,69,208,67
DptOIE,arg2,0.2599,0.5294,0.3487,72,205,64
DptOIE,tripla_completa,0.1805,0.3676,0.2421,50,227,86
Gemini3.1Pro,arg1,0.3879,0.8015,0.5228,109,172,27
Gemini3.1Pro,rel,0.2811,0.5809,0.3789,79,202,57
Gemini3.1Pro,arg2,0.2456,0.5074,0.3309,69,212,67
Gemini3.1Pro,tripla_completa,0.2028,0.4191,0.2734,57,224,79
Grok4.0Fast,arg1,0.439,0.6618,0.5279,90,115,46
Grok4.0Fast,rel,0.3171,0.4779,0.3812,65,140,71
Grok4.0Fast,arg2,0.2683,0.4044,0.3226,55,150,81
Grok4.0Fast,tripla_completa,0.2293,0.3456,0.2757,47,158,89
respostas_gpt5.5_mini,arg1,0.4018,0.6471,0.4958,88,131,48
respostas_gpt5.5_mini,rel,0.2603,0.4191,0.3211,57,162,79
respostas_gpt5.5_mini,arg2,0.2374,0.3824,0.293,52,167,84
respostas_gpt5.5_mini,tripla_completa,0.1735,0.2794,0.2141,38,181,98
