sentence,modelo_exemplo,arg1,rel,arg2,n_modelos_concordando
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",Claude_Sonnet5,Michael J. Shea,é,formado em 1904,3
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",Claude_Sonnet5,seu irmão,é,John F. Shea,3
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",Claude_Sonnet5,John F. Shea,escreveu,a letra original,4
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",respostaGrok4.0Fast,Michael J. Shea,é,formado em 1904,3
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",respostaGrok4.0Fast,John F. Shea,escreveu,a letra original,4
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",respostas_gpt5.5_mini,John F. Shea,escreveu,a letra original,4
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",respostas_gpt5.5_mini,seu irmão,é,John F. Shea,3
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",respostasGemini3.1Pro,Michael J. Shea,é,formado em 1904,3
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",respostasGemini3.1Pro,John F. Shea,escreveu,a letra original,4
"Michael J. Shea, formado em 1904, escreveu a música, e seu irmão, John F. Shea, que se formou em 1906 e 1908, escreveu a letra original.",respostasGemini3.1Pro,seu irmão,é,John F. Shea,3
"A Universidade de Notre Dame du Lac (ou simplesmente Notre Dame / ˌnoʊtərˈdeɪm / NOH-tər-DAYM) é uma Universidade Católica de Pesquisa localizada a o lado de South Bend, Indiana, em os Estados Unidos.",Claude_Sonnet5,A Universidade de Notre Dame du Lac,é,"uma Universidade Católica de Pesquisa localizada a o lado de South Bend, Indiana, em os Estados Unidos",3
"A Universidade de Notre Dame du Lac (ou simplesmente Notre Dame / ˌnoʊtərˈdeɪm / NOH-tər-DAYM) é uma Universidade Católica de Pesquisa localizada a o lado de South Bend, Indiana, em os Estados Unidos.",respostaGrok4.0Fast,A Universidade de Notre Dame du Lac,é,"uma Universidade Católica de Pesquisa localizada ao lado de South Bend, Indiana, em os Estados Unidos",3
"A Universidade de Notre Dame du Lac (ou simplesmente Notre Dame / ˌnoʊtərˈdeɪm / NOH-tər-DAYM) é uma Universidade Católica de Pesquisa localizada a o lado de South Bend, Indiana, em os Estados Unidos.",respostasGemini3.1Pro,A Universidade de Notre Dame du Lac,é,"uma Universidade Católica de Pesquisa localizada a o lado de South Bend, Indiana, em os Estados Unidos",3
"Em fevereiro de 2013, Beyoncé disse que Madonna a inspirou a assumir o controle de sua própria carreira.",Claude_Sonnet5,Beyoncé,disse,em fevereiro de 2013 que Madonna a inspirou a assumir o controle de sua própria carreira,4
"Em fevereiro de 2013, Beyoncé disse que Madonna a inspirou a assumir o controle de sua própria carreira.",Claude_Sonnet5,Madonna,inspirou,a (Beyoncé) a assumir o controle de sua própria carreira,4
"Em fevereiro de 2013, Beyoncé disse que Madonna a inspirou a assumir o controle de sua própria carreira.",respostaGrok4.0Fast,Beyoncé,disse,que Madonna a inspirou a assumir o controle de sua própria carreira,4
"Em fevereiro de 2013, Beyoncé disse que Madonna a inspirou a assumir o controle de sua própria carreira.",respostaGrok4.0Fast,Madonna,inspirou,a assumir o controle de sua própria carreira,4
"Em fevereiro de 2013, Beyoncé disse que Madonna a inspirou a assumir o controle de sua própria carreira.",respostas_gpt5.5_mini,Beyoncé,disse,que Madonna a inspirou a assumir o controle de sua própria carreira,4
"Em fevereiro de 2013, Beyoncé disse que Madonna a inspirou a assumir o controle de sua própria carreira.",respostas_gpt5.5_mini,Madonna,inspirou,Beyoncé a assumir o controle de sua própria carreira,4
